id,fecha,sector,ingresos,empleados,ano,mes,outlier,ingreso_per_capita,categoria_tamaño,periodo
1,2024-01-01T00:00:00Z,Finanzas,50000,100,2024,1,FALSE,500,Mediana,2024-01
2,2024-01-02T00:00:00Z,Finanzas,30000,150,2024,1,FALSE,200,Mediana,2024-01
3,2024-01-01T00:00:00Z,Finanzas,75000,125,2024,1,FALSE,600,Mediana,2024-01
7,2024-04-01T00:00:00Z,Retail,72233.07032394377,90,2024,4,FALSE,802.5896702660419,Pequeña,2024-04
8,2024-04-01T00:00:00Z,Retail,79486.29317158692,110,2024,4,FALSE,722.6026651962447,Mediana,2024-04
9,2024-04-01T00:00:00Z,Retail,52781.43592594644,110,2024,4,FALSE,479.8312356904222,Mediana,2024-04
10,2024-04-01T00:00:00Z,Retail,69259.3670954646,110,2024,4,FALSE,629.630609958769,Mediana,2024-04
11,2024-04-07T00:00:00Z,Retail,62574.52028589464,90,2024,4,FALSE,695.2724476210516,Pequeña,2024-04
12,2024-04-07T00:00:00Z,Retail,94033.57648993781,110,2024,4,FALSE,854.850695363071,Mediana,2024-04
13,2024-04-07T00:00:00Z,Retail,90848.4619782341,90,2024,4,FALSE,1009.4273553137123,Pequeña,2024-04
14,2024-04-07T00:00:00Z,Retail,70376.03085203095,110,2024,4,FALSE,639.7820986548268,Mediana,2024-04
15,2024-04-01T00:00:00Z,Retail,69536.46387302299,130,2024,4,FALSE,534.8958759463308,Mediana,2024-04
16,2024-04-07T00:00:00Z,Retail,59088.28240381712,90,2024,4,FALSE,656.5364711535235,Pequeña,2024-04
17,2024-04-01T00:00:00Z,Retail,76822.10934235333,90,2024,4,FALSE,853.5789926928148,Pequeña,2024-04
18,2024-04-07T00:00:00Z,Retail,75060.5574012578,130,2024,4,FALSE,577.3889030865985,Mediana,2024-04
19,2024-04-01T00:00:00Z,Retail,50762.287854685834,110,2024,4,FALSE,461.4753441335076,Mediana,2024-04
20,2024-04-07T00:00:00Z,Retail,65542.03607727452,110,2024,4,FALSE,595.8366916115865,Mediana,2024-04
21,2024-04-01T00:00:00Z,Retail,96736.3341985543,130,2024,4,FALSE,744.1256476811868,Mediana,2024-04
22,2024-04-01T00:00:00Z,Retail,67511.61356533376,90,2024,4,FALSE,750.1290396148195,Pequeña,2024-04
23,2024-04-07T00:00:00Z,Retail,51802.45207203343,90,2024,4,FALSE,575.5828008003715,Pequeña,2024-04
24,2024-04-07T00:00:00Z,Retail,79203.69762414884,110,2024,4,FALSE,720.0336147649895,Mediana,2024-04
25,2024-04-07T00:00:00Z,Retail,54431.729510674355,130,2024,4,FALSE,418.705611620572,Mediana,2024-04
26,2024-04-07T00:00:00Z,Retail,48827.45946450411,110,2024,4,FALSE,443.8859951318555,Mediana,2024-04
27,2024-04-01T00:00:00Z,Retail,64225.05331291289,90,2024,4,FALSE,713.6117034768099,Pequeña,2024-04
28,2024-04-01T00:00:00Z,Retail,73713.93454243406,90,2024,4,FALSE,819.0437171381562,Pequeña,2024-04
29,2024-04-01T00:00:00Z,Retail,60239.787187319234,90,2024,4,FALSE,669.3309687479915,Pequeña,2024-04
30,2024-04-01T00:00:00Z,Retail,20696.302985492308,90,2024,4,FALSE,229.95892206102565,Pequeña,2024-04
31,2024-04-01T00:00:00Z,Retail,49953.43168517991,90,2024,4,FALSE,555.0381298353324,Pequeña,2024-04
32,2024-04-07T00:00:00Z,Retail,70603.30835969803,110,2024,4,FALSE,641.8482578154366,Mediana,2024-04
33,2024-04-01T00:00:00Z,Retail,67403.3277033173,130,2024,4,FALSE,518.4871361793639,Mediana,2024-04
34,2024-04-01T00:00:00Z,Retail,44886.87438406638,90,2024,4,FALSE,498.7430487118487,Pequeña,2024-04
35,2024-04-01T00:00:00Z,Manufactura,57358.248086299114,110,2024,4,FALSE,521.4386189663555,Mediana,2024-04
